"","name","par_strategy","nproc","time","generator","r","id","avg_card","date","duration","iteration","perc_minimal","size","size_minimal","mhspersec","totaltime"
"127","mhs","Stride",2,1.6e+07,"mhs_stride_2_16000000",50,2016433169.72,7.0742145394,12010,16.59417903,50.5,0.9709132898,158033.11,153663.350119537,4761.70317658674,33.18835806
"128","mhs","Stride",2,2e+06,"mhs_stride_2_2000000",50,1956701449.73,7.0008674145,12007,2.5019242,50.5,0.99417608382,143685.03,142849.420290803,28714.9047121412,5.0038484
"129","mhs","Stride",2,4e+06,"mhs_stride_2_4000000",50,2160000609.81,7.0086535457,12008,4.59665009,50.5,0.99178621052,147139.98,145969.439825988,16005.131684931,9.19330018
"130","mhs","Stride",2,8e+06,"mhs_stride_2_8000000",50,2171143073.59,7.0318669462,12009,8.53256147,50.5,0.98432587324,151124.88,148890.570009542,8855.77446651551,17.06512294
"131","mhs","Stride",3,1e+06,"mhs_stride_3_1000000",50,2085627503.97,6.9984255694,12011,1.28820581,50.5,0.99505963685,91452.51,91004.2598338692,23664.0525631537,3.86461743
"132","mhs","Stride",3,1.6e+07,"mhs_stride_3_16000000",50,2059121945.85,7.0823226645,12015,16.88071716,50.5,0.96882647457,231135.57,224174.529248599,4564.09459798093,50.64215148
"133","mhs","Stride",3,2e+06,"mhs_stride_3_2000000",50,2341574070.83,7.0006101232,12012,2.73076614,50.5,0.99447886046,203329.31,202200.229931848,24819.5682793499,8.19229842
"134","mhs","Stride",3,4e+06,"mhs_stride_3_4000000",50,2268845679.63,7.0115459011,12013,4.74199224,50.5,0.9912812245,214234.99,212419.490279088,15059.422225738,14.22597672
"135","mhs","Stride",3,8e+06,"mhs_stride_3_8000000",50,2165849295.37,7.0325011588,12014,8.82671916,50.5,0.98468447033,219311.32,216098.589939209,8282.10029210144,26.48015748
"136","mhs","Stride",4,1e+06,"mhs_stride_4_1000000",50,2070679275.84,6.9983746521,12016,1.38291618,50.5,0.99520985606,115863.53,115306.639911424,20945.508425536,5.53166472
"137","mhs","Stride",4,1.6e+07,"mhs_stride_4_16000000",50,2234203663.27,7.0814273979,12020,17.1320333,50.5,0.96957905475,300480.41,291685.469310368,4384.7744855831,68.5281332
"138","mhs","Stride",4,2e+06,"mhs_stride_4_2000000",50,2003303802.97,7.001259585,12017,2.98391958,50.5,0.99461551608,268072.59,266632.209260055,22459.7700116301,11.93567832
"139","mhs","Stride",4,4e+06,"mhs_stride_4_4000000",50,2200535455.96,7.0107361364,12018,5.00321049,50.5,0.99179426009,278730.81,276515.869481556,13927.597617425,20.01284196
"140","mhs","Stride",4,8e+06,"mhs_stride_4_8000000",50,2305905716,7.0349295467,12019,9.06940873,50.5,0.98419686137,286128.91,281819.069405774,7887.19856272262,36.27763492
"141","mhs","Stride",5,1e+06,"mhs_stride_5_1000000",50,1987799152.27,6.998820677,12021,1.48784281,50.5,0.9954230279,149062.46,148371.649814604,20037.3936007393,7.43921405
"142","mhs","Stride",5,1.6e+07,"mhs_stride_5_16000000",50,2113056363.77,7.0823911763,12025,17.33253974,50.5,0.96966650964,369611.18,358802.450228742,4264.93965159661,86.6626987
"143","mhs","Stride",5,2e+06,"mhs_stride_5_2000000",50,2150621067.45,7.0014389367,12022,3.1586578,50.5,0.99474706052,327502.18,325789.381053456,20736.7939635626,15.793289
"144","mhs","Stride",5,4e+06,"mhs_stride_5_4000000",50,2321862690.68,7.0126453161,12023,5.17939668,50.5,0.99153098462,342447.71,339652.281309702,13223.4594551271,25.8969834
