"","id","avg_card","date","duration","generator","iteration","perc_minimal","size","r","size_minimal"
"234",606477975,9.82990551," 2014-Jun-04 09:20:30",45.708335,"mhs_stride_7",39,1,483484,25,483484
"235",608991207,9.10426617," 2014-Jun-04 19:57:04",80.947182,"mhs_random_3",70,1,559989,25,559989
"236",611738946,8.94621277," 2014-Jun-04 12:24:31",15.680774,"mhs_random_8",47,1,488019,25,488019
"237",616049876,9.34871864," 2014-Jun-03 23:42:36",23.208813,"mhs_random_3",11,1,383521,25,383521
"238",617104609,9.2542572," 2014-Jun-04 04:29:51",23.901375,"mhs_random_7",26,1,505889,25,505889
"239",618861698,8.96326065," 2014-Jun-05 05:00:41",45.25228,"mhs_random_4",95,1,687582,25,687582
"240",620113504,8.58397198," 2014-Jun-03 22:01:30",41.705015,"mhs_stride_5",5,1,552285,25,552285
"241",625295706,8.7671442," 2014-Jun-04 19:27:50",68.383523,"mhs_stride_8",68,1,684521,25,684521
"242",628461274,9.2542572," 2014-Jun-04 04:34:29",86.009764,"mhs_stride_2",26,1,505889,25,505889
"243",632226104,8.72876167," 2014-Jun-05 00:20:37",37.955413,"mhs_stride_7",80,1,587974,25,587974
"244",638626017,9.17742825," 2014-Jun-04 17:22:41",69.619457,"mhs_random_4",64,1,774274,25,774274
"245",638740764,9.2562151," 2014-Jun-04 15:43:01",52.32654,"mhs_random_3",59,1,408996,25,408996
"246",643859718,8.96326065," 2014-Jun-05 05:02:09",29.219568,"mhs_random_6",95,1,687582,25,687582
"247",644322767,8.48554707," 2014-Jun-04 01:22:35",157.524043,"mhs_random_1",17,1,509815,25,509815
"248",645046001,9.4477911," 2014-Jun-04 15:33:04",12.572366,"mhs_random_7",58,1,378621,25,378621
"249",649325660,9.16362476," 2014-Jun-04 21:40:47",52.88505,"mhs_stride_4",73,1,592748,25,592748
"250",652596413,9.12482071," 2014-Jun-04 02:05:33",90.082415,"mhs_random_4",19,1,778756,25,778756
"251",652928244,9.04508018," 2014-Jun-05 01:47:06",124.37453,"mhs_stride_2",85,1,731614,25,731614
"252",653562214,9.16362476," 2014-Jun-04 21:43:43",40.254138,"mhs_stride_7",73,1,592748,25,592748
"253",655418576,8.98309326," 2014-Jun-05 05:36:33",29.499279,"mhs_random_4",97,1,479344,25,479344
